title,artist,genre,lyricist,music,key,beat,lyrics,selected,metaphor,metaphor_interpretation,metaphor_source_domain,metaphor_target_domain
Lassana Nam |  ලස්සන නම්,Sanath Nandasiri,Movie Songs,Karunarathna Abeysekara,Sarath Dasanayaka,C minor,6/8,"ලස්සන නම් නෑ පෙනෙන්නේ 
ඉස්සර සුවඳයි දැනෙන්නේ 
එදා සොඳුරු ප්‍රිය දසුන් 
මෙදා සිහිනයකි කසුන් 
මතක් වුනත් අමිල සතුටකී 
ලස්සන නම් නෑ පෙනෙන්නේ 
උකුල් තලා සලා නාරිලතාවෝ 
අමල් සිනා නැගූ රන් චාරුලතාවෝ 
වැයූ වගේ හවුල් වී  ගැයූ රගේ කොවුල් 
ගියේ ඔවුන් ලඳුන් කොහේදෝ 
සවන් පුරා පිරීලා වස්දඬු රාවේ 
සුසුම් හෙලයි සිතාරේ නෙත් යුග නෑවේ 
සිතූ සිතුම් සිඳීලා  පැතූ පැතුම් බිඳීලා 
ජීවිතේ ගමන් විලාසේ",1,සුසුම් හෙලයි සිතාරේ නෙත් යුග නෑවේ ,සිතාරයේ නාදයට දෑසට කඳුලු ඒම,නෙත් යුග නෑම,කඳුලින් ඇස් පිරීම
Hichchi Nage | හිච්චි නගේ,Sanath Nandasiri,Duets,Wimal Jayashantha,Sanath Nandasiri,F minor,6/8,"හිච්චි නගේ හිච්චි නගේ 
හිච්චි නගේ බාලේ හිද හැංගි හොරා 
ලපටි හිතින් මට මතකයි විහිළු කළා 
හිතට හොරා මල් පිපුණා ආල නුරා 
අද මොකදෝ මං දුටුවම වෙනස්‌ වෙලා 
හිච්චි නගේ හිච්චි නගේ 
කොළඹ රටේ ඔබ ඉන්නා සුනංගුවේ 
ගම් පියසේ මං හිටියේ විලංගුවේ 
රෑ යාමේ හමුවී මට දෙවොල් පොලේ 
ලොකු මාමා ඇයි තරහින් දොස් කීවේ 
හිච්චි නගේ හිච්චි නගේ 
දුරස් වෙලා සිටියත් ඔබ කොලොම්පුරේ 
හද සුවඳයි රැඳුනේ හද නිරන්තරේ 
හරස් වෙලා හැමදෙනාම කිමද නගේ 
ඔබෙයි මගෙයි ආදර ලොව පලුදු කලේ 
හිච්චි නගේ හිච්චි නගේ 
හිච්චි නගේ හිච්චි නගේ",1,හිතට හොරා මල් පිපුණා ආල නුරා,නොදැනීම ආදර සම්බන්ධතාවයක් ඇතිවීම,මල් පිපීම,ආදරයක් ගොඩනැගීම
Ganga Jale – ගංගා ජලේ,Sanath Nandasiri,New Pop,Ajantha Ranasinghe,Nimal Jayakody,D,4/4,"ගංගා ජලේ කින්නරා අංගනා 
නිල් ගං ජලේ හැංඟුනා 
ඒ කින්නරා කවුරුදෝ ඔබ විනා 
මා මන් බැඳී රංජනා 
ඔබ ඉන්නවානේ පියුමක් රනින් 
ගංගා ජලාසේ පිපුණා ලෙසින් 
තෙත්වූ දුහුල් සළුවෙන් එතී 
ඔය පංච පෙම් කල්‍යාණ රූ 
මගෙ දෑස ආශාවෙන් බන්දා තියා 
හිංසා කරන්නේ ඇයි රිදුවා හැඟුම් 
දිය බේරිලා සැලෙනා ඔබේ 
වරලේ අහෝ දැවටෙන්න හෝ 
මට වාසනා නැතිදෝ සඳ කින්නරී 
දුල්වන් රුවින් පිරිපුන් මන්දෝදරී 
ගංගා ජලේ කින්නරා අංගනා 
නිල් ගං ජලේ හැංඟුනා 
ඒ කින්නරා කවුරුදෝ ඔබ විනා 
මා මන් බැඳී රංජනා 
ඔබ ඉන්නවානේ පියුමක් රනින් 
ගංගා ජලාසේ පිපුණා ලෙසින් 
රූ ශ්‍රී ඔබේ මව මවා සිත් ලෙනේ 
මා තවුතිසා රාජ්‍යයේ",0,,,,
Koho Koho | කොහෝ කොහෝ,Sanath Nandasiri,Duets,Ajantha Ranasinghe,Sanath Nandasiri,Eb major,6/8,"කොහෝ කොහෝ කොහේ ඉඳන් කොහෝ කියනවදෝ 
අපේ ගමේ රබන් පදේ උඹට ඇහෙනවදෝ .. 
කජු නාඹර රස මී අඹ ගස් යට වැහි වැහැලා 
කොහෝ අන්න අර බලපන් මී වද පැණි පිරිලා 
කොහෝ කොහෝ කොහේ ඉඳන් කොහෝ කියනවදෝ 
බක් මාසේ මඟුල් නැකැත් මටත් කියනවදෝ 
රබන් හඬට බමරු නටන ලස්සණ ගම් මැද්දේ 
කොහෝ උඹත් ගී කියපන් සිංහල අවුරුද්දේ 
කොහෝ කොහෝ කොහේ ඉඳන් කොහෝ කියනවදෝ 
අවුරුද්දට අපේ දිහා නෑගම් එනවදෝ ...",0,,,,
Dangakara Oya Dasa | දඟකාර ඔය දෑස,Sanath Nandasiri,Old Pops,Sunil Gunawardhana,Ranjith Perera,D major,3/4,"දඟකාර ඔය දෑස දුටුවා එදා 
දුර ඈත පාසල් වියේ 
නොදැනීම අපගේම සිත් යා වුණා 
දසුනින්ම හසුනක් මවා  
උදයේ හවා ඔබ හමු වී එදා 
දෙඩුවා බැඳීලා සෙනේ  
දෙකොපුල් විලේ හසරැල් පිපී 
සතුටින් කල් යා වුණා 
සසරේ සදා අප බැඳෙමුයි පතා 
වැඩුණා හදේහී සෙනේ  
නිලුපුල් නෙතේ හසරැල් මැකී 
කඳුලින්ම වෙන් වී ගියා",1,සිත් යා වුණා,ආදරයක් ඇති වීම,යාවීම,බැඳිමක් ඇති වීම
Dewram Wehere |  දෙව්රම් වෙහෙරේ,Victor Rathnayaka,Buddhist songs,Premakeerthi De Alwis,Victor Rathnayaka,D minor,4/4,"දෙව්රම් වෙහෙරේ හිමි වැඩ සිටි සමයේ 
මා සිටියානම්  
සමිදුනි ඔබ පිළිසරණ පතා 
මම‍ එමි බවදුරු කතර ගෙවා 
සහසක් දොම්නස් දුක් ගිනි අතරේ  
දැවෙන මහද සිතිවිලි ගිණි අදුරේ 
සමිද ඔබේ පිළිරුව දුටු පමණින් 
නිවී නිවී යන අරුමය කිමදෝ 
ජීවමානවම හිමි දැක ගන්නට  
මා නෙත කල පින් මද බව වැටහිනි 
එහෙයින් හිමි අනුරුව අභියස සිට 
බවුන් වඩමි ‍මෙත් බුදුන් දකින්නට",1,සහසක් දොම්නස් දුක් ගිනි අතරේ,ඉතා විශාල දුකක්,දුක් ගිනි,දැඩි දුක
Mala Gira Gela |  මාල ගිරා ගෙල,T.M.Jayarathna,Classics,Ajantha Ranasinghe,Premasiri Khemadasa,D major,,"මාල ගිරා ගෙල මාල පොටක් බැඳි  
ගෝමර පෙති මාලේ  
පාට සරුංගල් පාට නෙලා…. ගෙන  
රුව දිලෙනා ලීලේ 
වතුසුදු මල සේමා වත රූසිරු බෝමා  
කෝල කොමල වරුනේ සිත බැඳුනා ලඳුනේ   
කදිම උවම් යොදලා කව් සීපද ගොතලා  
හීතල දුරුතු මහේ  කියමුද අපි ලඳුනේ  
කෙකටිය සුදට සුදෝ  හිරිමල් කැකුළු මුවින්  
ටිකිරි හිනා බිංදූ  මට දෙනවද ලඳුනේ",1,වතුසුදු මල සේමා වත රූසිරු බෝමා ,ඉතා අලංකාර මුහුණ,වුතුසුදු මල,අලංකාර හෙවත් දීප්තිමත් මුහුණ
Hade Kothanaka | හදේ කොතැනක,Sunil Edirisinghe,,Kumaradasa Saputhanthri,Rohana Weerasingha,C major,4/4,"හදේ කොතැනක හෝ හිඳී ඔබ 
නිදා නොනිදා මෙන් 
බලා අවසර සොයා කල් දැන 
වෙලා හස රැහැනින් 
පෙළයි මා, මුදා සුව දැහැනින්  
සයුර ඉම රත් සිතිජ රේඛාවේ 
මියෙන හිරු සේ ගිලී ගිම් අඳුරේ 
තලා මා සිත පලා ගිය ඔබ 
දවයි මා….හද, තනිවෙනා මොහොතින් 
උතුම් පිවිතුරු ප්‍රේමයේ නාමෙන් 
සහස් සුවහස් පැතුම් බල මහිමෙන් 
ඉනූ කඳුලද සිඳෙන්නට පෙර 
යදින්නම්…. ඔබ, මැකී යනු මතකෙන්",1,මියෙන හිරු සේ ගිලී ගිම් අඳුරේ,ජීවිතය අඳුරට පත්වීම,මියෙන හිරු සේ,අඳුරට පත්වීම
Epa Yali Hamuwanna | එපා යළි හමුවන්න,Sunil Edirisinghe,Current Songs,Dishan Nanayakkara,Karunarathna Wijewardhana,D major,5/8,"එපා යළි හමුවන්න ජීවිතේ ගමන් මඟ 
ඔබෙන් මට උරුම වූ වේදනා කඳුළු ගඟ 
හිරු සිනාසෙන ලොවක පැතුම් මල් දෙවැට ලඟ 
ඔබේ ජීවන සුවඳ අරන් ඈතට යන්න 
සංසාර ගමන් මඟ සෙනෙහස සොයා දිනක
ආ ගමන නිමා කල ඔබේ හදවත ගාව 
සෙනෙහසේ අවසාන කඳුළු බිඳුවක පහස 
ගලා යයි අතීතේ මිය ඇදුණු සොහොන ලඟ 
ඔබ මවෙත තිළිණ කල ඔබේ බැතිබර සුවඳ 
මගේ මතකය වසා සදා කල් රැඳෙනු ඇත 
සංසාරයේ යළිදු නවාතැන් සොයායන 
මගේ මළගමදාට ඇවිත් යන්නට එන්න",1,කඳුළු ගඟ,විශාල කඳුළු ප්‍රමාණයක්,ගඟ,විශාල ප්‍රමාණයක්
Hada Parana Rudu – හද පාරනා රුදු,Sunil Edirisinghe,New Pop,Kularathna Ariyawansa,Sarath De Alwis,G minor,4/4,"හද පාරනා රුදු වේදනාවන් 
කුරිරු වූ ලෝකෙන් 
නැගෙනා පැයේ නොසැලී හිඳින්නම් 
මා සිනා දෑසින් 
තනිව නැගෙද්දී පෙරට ඇදෙද්දී 
මාවත අවුරණ ලොවක මෙසේ 
තනිවූ දෙපයින් ජීවිතයේ 
බාධක දිනන්නෙමි 
පහර වදිද්දී සැවොම රිදුම් දී 
ඒ සිත හඬවන ලොවක මෙසේ 
තනිවූ දෑසින් යායුතු වූ 
මාවත දකින්නෙමි",1,තනිවූ දෙපයින් ජීවිතයේ,ජීවිතය ගටගසා ගැනීමට අසීරු වීම,තනිවූ දෙපයින්,අසීරුවෙන්
Duwe Numba mage | දුවේ නුඹ මගෙ,Sunil Edirisinghe,Classics,Bandara Ahaliyagoda,Rohana Weerasingha,F major,4/4,"දුවේ නුඹ මගෙ ප්‍රාණයයි 
සැබෑ වුණ සුබ සිහිනයයි 
සෙනෙහසින් කුලගෙට පියනගන්නේ 
සනුහරේ අභිමානයයි  
මං මලක් ලෙස නුඹ නොහැදුවේ 
පෙති හැලී පරවෙන නිසාමයි 
දුක දිනා හිනැහෙන හැටි දුවේ 
නුඹ දැන උගත් පාඩම තමයි 
මිල මුදල නිල බල යා නොදෙයි 
මිල මුදල නිල බල යා නොදෙයි 
කළ හොඳම විතරක් ඉතිරිවෙයි  
කළ හොඳම විතරක් ඉතිරිවෙයි 
අප මී මුතුන් මිත්තන් එදා 
සිය ලේ කඳුළු දහදිය පුදා 
පරපුරෙන් පරපුරට රැගෙන ආ 
ඒ ගෞරවය මගෙ දුව තමා 
නුඹ යන්නෙ හිස් දෑතින් නොවේ  
නුඹ යන්නෙ හිස් දෑතින් නොවේ 
ගෙනියන්නෙ ඒ අභිමානයයි  
ගෙනියන්නෙ ඒ අභිමානයයි",1,මං මලක් ලෙස නුඹ නොහැදුවේ,අසීරුතාවන්ට මුහුණ දීමට ඉඩ සලසා දෙමින් හදා ගැනීම,මල,ළාමක ලෙස
Devole Nokalal | දෙවොලේ නොකැළැල්,Sunil Edirisinghe,Old Pops,Sunil Ariyarathna,H.M.Jayawardhana,Eb major,4/4,"දෙවොලේ නොකැළැල් පිදු ආදර මල් 
සුවඳින් මනකල් පිබිදෙමි හැමකල් 
මලෙකින් මලකට ඇදෙමින් නොඉඳුල් 
නිගා දෙවයි පෙම් ලොවටම මිහිලුන් 
එක මලකින් පමණක් රොන් ගන්නම් 
අන් මල් මත නොතබා උණු කඳුළැල් 
පවසට ඵල නැත සයුරේ රළ වැල් 
දිය දෝතක් ගමි දොලකින් සිහිලැල් 
පීඩිත වී සිටිනා සඳ අඳුරේ 
ඔබ පමණයි ගෙන ආවේ හසරැල්",0,,,,
Dewedi Dennata | දෑවැදි දෙන්නට,Sunil Edirisinghe,Old Pops,Premakeerthi De Alwis,Rohana Weerasingha,F minor,4/4,"දෑවැදි දෙන්නට රන්මසු පොදි නැති 
ගෙදරට බර වුණු බාල නඟේ 
නුඹ ගෙනියන්නට ගමෙත් කෙනෙක් නැහැ 
රටෙත් කෙනෙක් නැහැ බාල නඟේ  
විරසක වීලා විරහ අපලයෙන් 
නුඹෙ ඉරණම නුඹ ළඟට නොයේ 
නිදිබර දෑසයි දැලි ගෑ මුහුණයි 
ලිප මුල්ලේ යෞවනය ගෙවේ 
රන්දම් පැලඳිය යුතු ගෙල වටකර 
නවගුණ වැල පෝ දිනට බැඳේ 
දීගෙක ගියදා නුඹට දැනේවී 
තනිකඩකම කොච්චරද අගේ",1,නුඹ ගෙනියන්නට ගමෙත් කෙනෙක් නැහැ,විවාහ වීමට කෙනෙක් නැත,ගෙනියන්නට,විවාහ වීමට
Devani Budun Lesa | දෙවැනි බුදුන් ලෙස,Sunil Edirisinghe,Classics,Sunil Ariyarathna,Rohana Weerasingha,D minor,4/4,"දෙවැනි බුදුන් ලෙස ලොවම උවම් කල 
ලොවක පිදුම් ලද ලොවට උතුම් ලඳ 
අම්මා... අම්මා...අම්මා 
දෙසවන් සනහා මා නැලවූ ඔබ 
මියුරු මියැසියේ අරුත කියා දුනි 
ඒ මියැසිය අද මා ගයනා විට 
මා සිපගන්නට ඔබ මා ලඟ නැත 
අම්මා... අම්මා...අම්මා 
ඇසට හඬන්නට කඳුලැලි දුන් ඔබ 
ලතැවුල් දරනා දිරිය ලබා දුනි 
ඒ දිරියෙන් ලොව ජය ලබනා විට 
මා සිපගන්නට ඔබ මා ලඟ නැත 
අම්මා... අම්මා...අම්මා",0,,,,
Chandra Mandale | චන්ද්‍ර මණ්ඩලේ,Sunil Edirisinghe,Classics,Rathna Sri Wijesinge,Rohana Weerasingha,C minor,6/8,"චන්ද්‍ර මණ්ඩලේ සැතපුණ පුංචි සාවියේ 
මන්ද කියාපන් නොකියා හැංගිලා ගියේ 
පාන නිවුන සේ පාළුයි ලැයින් කාමරේ 
මන්ද නුඹ ගියේ කියපන් පුංචි සාවියේ 
ලාභ රත්තරන් දිලිසෙන පාළු වීදියේ 
ගෑනු ළමයි පියාඹලා ඉස්සරත් ගියේ 
උන්ට සෙයිලමේ මඟතොට පාර වැරදුණේ 
අන්න ඒ නිසයි මට දුක රත්තරන් දුවේ 
මාල බැඳන් සුදු යකඩෙන් රෝස මල් වනේ 
මාල ගිරව් ගේ දොරකඩ සිංදු කිව් වෙලේ 
හීනෙනුත් හිතුනෙ නෑ මට මොකද කාරණේ 
පාර මතකනම් තාමත් ගේ ලඟයි දුවේ",1,මන්ද කියාපන් නොකියා හැංගිලා ගියේ,නිවසට නොකියාපලා යාම,⁣හැඟීම,පලා යාම
Chandra Madala | චන්ද්‍ර මඬල,Sunil Edirisinghe,Old Pops,Kularathna Ariyawansa,Rohana Weerasingha,F minor,6/8,"චන්ද්‍ර මඬල බැද්ද වටින් මෝදු වෙලා 
කළු නැන්දගෙ දුව යන්ට ගියා  
බැල්ම හෙලා   බැල්ම හෙලා  
පාළු පැලේ අඳුර පිරේ 
මගෙ පැලට වරෙන් හනික සෝඩි නඟේ  
දුරුතු හඳේ සිහිල වගේ 
තනි හිතට මගේ පාළු දැණෙයි නඟේ",1,"දුරුතු හඳේ සිහිල වගේ
තනි හිතට මගේ පාළු දැණෙයි නඟේ",පාඵවක් දැනීම,දුරුතු සඳේ සීතල,පාළුව
Awapasa Ahasaka | අවපස අහසක,Sunil Edirisinghe,Old Pops,Kularathna Ariyawansa,Rohana Weerasingha,G major,2/4,"අවපස අහසක තරු ලකුණක් සේ 
අපමණ සයුරක තුරු දසුනක් සේ 
දිගු දිවි ගමනේ ඉම ඔබ රැඳුණේ  
මාවත අවහිර නිමවා 
දළ රළ පෙල සැතපෙනවා 
සැළමුතු සෙනෙහස මඳ පවනක් වී 
ගැඹරේ නිම මුමුණනවා 
දෝතක අසෙනිය ගවසා 
ඔබ පෙරමඟ හිනැහෙනවා 
විකසිත සිහිනේ සුබ කවියක් වී 
දෙනෙතේ සිත ලියැවෙනවා",1,අවපස අහසක තරු ලකුණක් සේ ,බලාපොරොත්තුවක් නැති විට දුන් බලාපොරොත්තුවක්,අවපස අහසේ තරුව,බලාපොරොත්තුව
Asuweda Kaurun Ho | ඇසුවේද කවුරුන්,Sunil Edirisinghe,Classics,Kumaradasa Saputhanthri,Rohana Weerasingha,F major,4/4,"ඇසුවේද කවුරුන් හෝ නුඹෙන් 
හැඬුවේ ඇයි ද ප්‍රේමේ නමින් 
විමසා නැතිද කිසිදා ඔබත්  
කඳුලින් තුරන්වූ ප්‍රේමයක් 
සතුටේ උපත කඳුලයි සදා  
හද වේදනා දෝතින් ගෙනා 
පවනේ සිසිල සුසුමයි සිතේ 
පෙම් ප්‍රාර්ථනා විදදා ගෙනා 
පිපි මල් මතින් පියමන් කලෝ 
දිනුවේද කවදා ප්‍රේමයෙන් 
විදි වේදනා සතුටින් දරා 
පැරදී ගියේ කවුදෝ එයින්",1,පවනේ සිසිල සුසුමයි සිතේ,සිතේ වේදනාව,පවනේ සිසිල,පාලුවත් සමඟ ආ වේදනාව
