title,artist,genre,lyricist,music,key,beat,lyrics,metaphor,metaphor_interpretation,metaphor_source_domain,metaphor_target_domain
Hichchi Nage | හිච්චි නගේ,Sanath Nandasiri,Duets,Wimal Jayashantha,Sanath Nandasiri,F minor,6/8,"හිච්චි නගේ හිච්චි නගේ 
හිච්චි නගේ බාලේ හිද හැංගි හොරා 
ලපටි හිතින් මට මතකයි විහිළු කළා 
හිතට හොරා මල් පිපුණා ආල නුරා 
අද මොකදෝ මං දුටුවම වෙනස්‌ වෙලා 
හිච්චි නගේ හිච්චි නගේ 
කොළඹ රටේ ඔබ ඉන්නා සුනංගුවේ 
ගම් පියසේ මං හිටියේ විලංගුවේ 
රෑ යාමේ හමුවී මට දෙවොල් පොලේ 
ලොකු මාමා ඇයි තරහින් දොස් කීවේ 
හිච්චි නගේ හිච්චි නගේ 
දුරස් වෙලා සිටියත් ඔබ කොලොම්පුරේ 
හද සුවඳයි රැඳුනේ හද නිරන්තරේ 
හරස් වෙලා හැමදෙනාම කිමද නගේ 
ඔබෙයි මගෙයි ආදර ලොව පලුදු කලේ 
හිච්චි නගේ හිච්චි නගේ 
හිච්චි නගේ හිච්චි නගේ",හිතට හොරා මල් පිපුණා ආල නුරා,නොදැනීම ආදර සම්බන්ධතාවයක් ඇතිවීම,මල් පිපීම,ආදරයක් ගොඩනැගීම
Dangakara Oya Dasa | දඟකාර ඔය දෑස,Sanath Nandasiri,Old Pops,Sunil Gunawardhana,Ranjith Perera,D major,3/4,"දඟකාර ඔය දෑස දුටුවා එදා 
දුර ඈත පාසල් වියේ 
නොදැනීම අපගේම සිත් යා වුණා 
දසුනින්ම හසුනක් මවා  
උදයේ හවා ඔබ හමු වී එදා 
දෙඩුවා බැඳීලා සෙනේ  
දෙකොපුල් විලේ හසරැල් පිපී 
සතුටින් කල් යා වුණා 
සසරේ සදා අප බැඳෙමුයි පතා 
වැඩුණා හදේහී සෙනේ  
නිලුපුල් නෙතේ හසරැල් මැකී 
කඳුලින්ම වෙන් වී ගියා",සිත් යා වුණා,ආදරයක් ඇති වීම,යාවීම,බැඳිමක් ඇති වීම
Dewram Wehere |  දෙව්රම් වෙහෙරේ,Victor Rathnayaka,Buddhist songs,Premakeerthi De Alwis,Victor Rathnayaka,D minor,4/4,"දෙව්රම් වෙහෙරේ හිමි වැඩ සිටි සමයේ 
මා සිටියානම්  
සමිදුනි ඔබ පිළිසරණ පතා 
මම‍ එමි බවදුරු කතර ගෙවා 
සහසක් දොම්නස් දුක් ගිනි අතරේ  
දැවෙන මහද සිතිවිලි ගිණි අදුරේ 
සමිද ඔබේ පිළිරුව දුටු පමණින් 
නිවී නිවී යන අරුමය කිමදෝ 
ජීවමානවම හිමි දැක ගන්නට  
මා නෙත කල පින් මද බව වැටහිනි 
එහෙයින් හිමි අනුරුව අභියස සිට 
බවුන් වඩමි ‍මෙත් බුදුන් දකින්නට",සහසක් දොම්නස් දුක් ගිනි අතරේ,ඉතා විශාල දුකක්,දුක් ගිනි,දැඩි දුක
Mala Gira Gela |  මාල ගිරා ගෙල,T.M.Jayarathna,Classics,Ajantha Ranasinghe,Premasiri Khemadasa,D major,,"මාල ගිරා ගෙල මාල පොටක් බැඳි  
ගෝමර පෙති මාලේ  
පාට සරුංගල් පාට නෙලා…. ගෙන  
රුව දිලෙනා ලීලේ 
වතුසුදු මල සේමා වත රූසිරු බෝමා  
කෝල කොමල වරුනේ සිත බැඳුනා ලඳුනේ   
කදිම උවම් යොදලා කව් සීපද ගොතලා  
හීතල දුරුතු මහේ  කියමුද අපි ලඳුනේ  
කෙකටිය සුදට සුදෝ  හිරිමල් කැකුළු මුවින්  
ටිකිරි හිනා බිංදූ  මට දෙනවද ලඳුනේ",වතුසුදු මල සේමා වත රූසිරු බෝමා ,ඉතා අලංකාර මුහුණ,වුතුසුදු මල,අලංකාර හෙවත් දීප්තිමත් මුහුණ
Hade Kothanaka | හදේ කොතැනක,Sunil Edirisinghe,,Kumaradasa Saputhanthri,Rohana Weerasingha,C major,4/4,"හදේ කොතැනක හෝ හිඳී ඔබ 
නිදා නොනිදා මෙන් 
බලා අවසර සොයා කල් දැන 
වෙලා හස රැහැනින් 
පෙළයි මා, මුදා සුව දැහැනින්  
සයුර ඉම රත් සිතිජ රේඛාවේ 
මියෙන හිරු සේ ගිලී ගිම් අඳුරේ 
තලා මා සිත පලා ගිය ඔබ 
දවයි මා….හද, තනිවෙනා මොහොතින් 
උතුම් පිවිතුරු ප්‍රේමයේ නාමෙන් 
සහස් සුවහස් පැතුම් බල මහිමෙන් 
ඉනූ කඳුලද සිඳෙන්නට පෙර 
යදින්නම්…. ඔබ, මැකී යනු මතකෙන්",මියෙන හිරු සේ ගිලී ගිම් අඳුරේ,ජීවිතය අඳුරට පත්වීම,මියෙන හිරු සේ,අඳුරට පත්වීම
Epa Yali Hamuwanna | එපා යළි හමුවන්න,Sunil Edirisinghe,Current Songs,Dishan Nanayakkara,Karunarathna Wijewardhana,D major,5/8,"එපා යළි හමුවන්න ජීවිතේ ගමන් මඟ 
ඔබෙන් මට උරුම වූ වේදනා කඳුළු ගඟ 
හිරු සිනාසෙන ලොවක පැතුම් මල් දෙවැට ලඟ 
ඔබේ ජීවන සුවඳ අරන් ඈතට යන්න 
සංසාර ගමන් මඟ සෙනෙහස සොයා දිනක
ආ ගමන නිමා කල ඔබේ හදවත ගාව 
සෙනෙහසේ අවසාන කඳුළු බිඳුවක පහස 
ගලා යයි අතීතේ මිය ඇදුණු සොහොන ලඟ 
ඔබ මවෙත තිළිණ කල ඔබේ බැතිබර සුවඳ 
මගේ මතකය වසා සදා කල් රැඳෙනු ඇත 
සංසාරයේ යළිදු නවාතැන් සොයායන 
මගේ මළගමදාට ඇවිත් යන්නට එන්න",කඳුළු ගඟ,විශාල කඳුළු ප්‍රමාණයක්,ගඟ,විශාල ප්‍රමාණයක්
Hada Parana Rudu – හද පාරනා රුදු,Sunil Edirisinghe,New Pop,Kularathna Ariyawansa,Sarath De Alwis,G minor,4/4,"හද පාරනා රුදු වේදනාවන් 
කුරිරු වූ ලෝකෙන් 
නැගෙනා පැයේ නොසැලී හිඳින්නම් 
මා සිනා දෑසින් 
තනිව නැගෙද්දී පෙරට ඇදෙද්දී 
මාවත අවුරණ ලොවක මෙසේ 
තනිවූ දෙපයින් ජීවිතයේ 
බාධක දිනන්නෙමි 
පහර වදිද්දී සැවොම රිදුම් දී 
ඒ සිත හඬවන ලොවක මෙසේ 
තනිවූ දෑසින් යායුතු වූ 
මාවත දකින්නෙමි",තනිවූ දෙපයින් ජීවිතයේ,ජීවිතය ගටගසා ගැනීමට අසීරු වීම,තනිවූ දෙපයින්,අසීරුවෙන්
Duwe Numba mage | දුවේ නුඹ මගෙ,Sunil Edirisinghe,Classics,Bandara Ahaliyagoda,Rohana Weerasingha,F major,4/4,"දුවේ නුඹ මගෙ ප්‍රාණයයි 
සැබෑ වුණ සුබ සිහිනයයි 
සෙනෙහසින් කුලගෙට පියනගන්නේ 
සනුහරේ අභිමානයයි  
මං මලක් ලෙස නුඹ නොහැදුවේ 
පෙති හැලී පරවෙන නිසාමයි 
දුක දිනා හිනැහෙන හැටි දුවේ 
නුඹ දැන උගත් පාඩම තමයි 
මිල මුදල නිල බල යා නොදෙයි 
මිල මුදල නිල බල යා නොදෙයි 
කළ හොඳම විතරක් ඉතිරිවෙයි  
කළ හොඳම විතරක් ඉතිරිවෙයි 
අප මී මුතුන් මිත්තන් එදා 
සිය ලේ කඳුළු දහදිය පුදා 
පරපුරෙන් පරපුරට රැගෙන ආ 
ඒ ගෞරවය මගෙ දුව තමා 
නුඹ යන්නෙ හිස් දෑතින් නොවේ  
නුඹ යන්නෙ හිස් දෑතින් නොවේ 
ගෙනියන්නෙ ඒ අභිමානයයි  
ගෙනියන්නෙ ඒ අභිමානයයි",මං මලක් ලෙස නුඹ නොහැදුවේ,අසීරුතාවන්ට මුහුණ දීමට ඉඩ සලසා දෙමින් හදා ගැනීම,මල,ළාමක ලෙස
Dewedi Dennata | දෑවැදි දෙන්නට,Sunil Edirisinghe,Old Pops,Premakeerthi De Alwis,Rohana Weerasingha,F minor,4/4,"දෑවැදි දෙන්නට රන්මසු පොදි නැති 
ගෙදරට බර වුණු බාල නඟේ 
නුඹ ගෙනියන්නට ගමෙත් කෙනෙක් නැහැ 
රටෙත් කෙනෙක් නැහැ බාල නඟේ  
විරසක වීලා විරහ අපලයෙන් 
නුඹෙ ඉරණම නුඹ ළඟට නොයේ 
නිදිබර දෑසයි දැලි ගෑ මුහුණයි 
ලිප මුල්ලේ යෞවනය ගෙවේ 
රන්දම් පැලඳිය යුතු ගෙල වටකර 
නවගුණ වැල පෝ දිනට බැඳේ 
දීගෙක ගියදා නුඹට දැනේවී 
තනිකඩකම කොච්චරද අගේ",නුඹ ගෙනියන්නට ගමෙත් කෙනෙක් නැහැ,විවාහ වීමට කෙනෙක් නැත,ගෙනියන්නට,විවාහ වීමට
Chandra Mandale | චන්ද්‍ර මණ්ඩලේ,Sunil Edirisinghe,Classics,Rathna Sri Wijesinge,Rohana Weerasingha,C minor,6/8,"චන්ද්‍ර මණ්ඩලේ සැතපුණ පුංචි සාවියේ 
මන්ද කියාපන් නොකියා හැංගිලා ගියේ 
පාන නිවුන සේ පාළුයි ලැයින් කාමරේ 
මන්ද නුඹ ගියේ කියපන් පුංචි සාවියේ 
ලාභ රත්තරන් දිලිසෙන පාළු වීදියේ 
ගෑනු ළමයි පියාඹලා ඉස්සරත් ගියේ 
උන්ට සෙයිලමේ මඟතොට පාර වැරදුණේ 
අන්න ඒ නිසයි මට දුක රත්තරන් දුවේ 
මාල බැඳන් සුදු යකඩෙන් රෝස මල් වනේ 
මාල ගිරව් ගේ දොරකඩ සිංදු කිව් වෙලේ 
හීනෙනුත් හිතුනෙ නෑ මට මොකද කාරණේ 
පාර මතකනම් තාමත් ගේ ලඟයි දුවේ",මන්ද කියාපන් නොකියා හැංගිලා ගියේ,නිවසට නොකියාපලා යාම,⁣හැඟීම,පලා යාම
Chandra Madala | චන්ද්‍ර මඬල,Sunil Edirisinghe,Old Pops,Kularathna Ariyawansa,Rohana Weerasingha,F minor,6/8,"චන්ද්‍ර මඬල බැද්ද වටින් මෝදු වෙලා 
කළු නැන්දගෙ දුව යන්ට ගියා  
බැල්ම හෙලා   බැල්ම හෙලා  
පාළු පැලේ අඳුර පිරේ 
මගෙ පැලට වරෙන් හනික සෝඩි නඟේ  
දුරුතු හඳේ සිහිල වගේ 
තනි හිතට මගේ පාළු දැණෙයි නඟේ","දුරුතු හඳේ සිහිල වගේ
තනි හිතට මගේ පාළු දැණෙයි නඟේ",පාඵවක් දැනීම,දුරුතු සඳේ සීතල,පාළුව
Awapasa Ahasaka | අවපස අහසක,Sunil Edirisinghe,Old Pops,Kularathna Ariyawansa,Rohana Weerasingha,G major,2/4,"අවපස අහසක තරු ලකුණක් සේ 
අපමණ සයුරක තුරු දසුනක් සේ 
දිගු දිවි ගමනේ ඉම ඔබ රැඳුණේ  
මාවත අවහිර නිමවා 
දළ රළ පෙල සැතපෙනවා 
සැළමුතු සෙනෙහස මඳ පවනක් වී 
ගැඹරේ නිම මුමුණනවා 
දෝතක අසෙනිය ගවසා 
ඔබ පෙරමඟ හිනැහෙනවා 
විකසිත සිහිනේ සුබ කවියක් වී 
දෙනෙතේ සිත ලියැවෙනවා",අවපස අහසක තරු ලකුණක් සේ ,බලාපොරොත්තුවක් නැති විට දුන් බලාපොරොත්තුවක්,අවපස අහසේ තරුව,බලාපොරොත්තුව
Asuweda Kaurun Ho | ඇසුවේද කවුරුන්,Sunil Edirisinghe,Classics,Kumaradasa Saputhanthri,Rohana Weerasingha,F major,4/4,"ඇසුවේද කවුරුන් හෝ නුඹෙන් 
හැඬුවේ ඇයි ද ප්‍රේමේ නමින් 
විමසා නැතිද කිසිදා ඔබත්  
කඳුලින් තුරන්වූ ප්‍රේමයක් 
සතුටේ උපත කඳුලයි සදා  
හද වේදනා දෝතින් ගෙනා 
පවනේ සිසිල සුසුමයි සිතේ 
පෙම් ප්‍රාර්ථනා විදදා ගෙනා 
පිපි මල් මතින් පියමන් කලෝ 
දිනුවේද කවදා ප්‍රේමයෙන් 
විදි වේදනා සතුටින් දරා 
පැරදී ගියේ කවුදෝ එයින්",පවනේ සිසිල සුසුමයි සිතේ,සිතේ වේදනාව,පවනේ සිසිල,පාලුවත් සමඟ ආ වේදනාව
Ahasa Polawa | අහස පොළව,Sunil Edirisinghe,Old Pops,Yamuna Malani Perera,Rohana Weerasingha,G major,6/8,"අහස පොළව වටපිටාව හරිම හිස්තැනක් 
ගහක් කොළක් දියක් නොමැති කාන්තාරයක් 
ඇදී එන්න ඒ මොහොතේ  
හඬාවැටෙන හද මඬලට 
ඔබයි මමයි ඉන්නා තැන කොහිද තනිකමක් 
නැහැනේ තනිකමක් 
කනට මිණක තරුවක රුව 
නොපෙනුනි ඔබ දකින තුරා 
ලොවක සිරිය නොදුටිමි මා  
ඔබෙ සෙනෙහස ලබන තුරා 
විලක දොලක සුව නොලදිමි 
ඔබ මා හා රැඳෙන තුරා 
මලෙක සුවඳ ඇත මසිතේ 
ඔබ මා ළඟ සිටින තුරා",අහස පොළව වටපිටාව හරිම හිස්තැනක්,ඇය නොමැති විට විශාල අඩුපාඩුවක්,හිස්තැනක්,අඩුපාඩුවක්
Lokaye Rudu |  ලෝකයේ රුදු නෙත්,T.M.Jayarathna,Old Pops,Kularathna Ariyawansa,H.M.Jayawardhana,E minor,,"ලෝකයේ රුදු නෙත් වසා   
ස්නේහයේ හසරැල් සලා  
මා සොයා පැමිණෙන්න සොඳුරිය  
රෑ සඳේ කඳුලක් වෙලා… 
මා දෑස අවුරා ඔබ දෑස සඟවා  
සහසක් නුවන් දැල්විලා 
මා දෑස අවුරා ඔබ දෑස සඟවා  
සහසක් නුවන් දැල්විලා 
මේ කුරිරු ලෝකෙන් පාවී හමා රෑ  
යාවෙන්න පවනක් වෙලා 
රෑ සීත අඳුරේ මේ සොඳුරු යාමේ  
පාළුව දැනී තනිවෙල 
රෑ සීත අඳුරේ මේ සොඳුරු යාමේ  
පාළුව දැනී තනිවෙලා 
මා තැවෙන යාමේ මේ පාළු කුටියේ  
දැවටෙන්න සුවඳක් වෙලා",රෑ සඳේ කඳුලක් වෙලා,දුක නිවීමට පැමිනෙන්න,කඳුලක් වෙලා,දුක නිවීමට
Kunda Saman |  කුන්ද සමන්,T.M.Jayarathna,Old Pops,Clarence Wijewardena,Clarence Wijewardena,E major,,"කුන්ද සමන් මල් මල් රැන්දු සිනාවා  
කන්ද උඩින් පෑයූ චන්ද්‍ර සිනාවා  
නෙල්ලි කැලේ හැංගී ඉන්න කුමාරී  
පින්න පිපුනු සීතේ එන්න සිනාසී  
රංචු බිඟුන් සේනා  කැන්දු සිනාවා  
පුංචි සමන් මල් රොන් බිංදු සිනාවා 
පිපි මලසේ.හිමිදිරියේ.ඔසරි පොටේ 
සුදු නෙරියේ..හිත දැවටේ.සිලි සිලියේ 
මට නොදැනී.මට අමතා.පටු නළලේ  
කියඹු ලතා.මුදු මුදුසේ.සැලෙන ලතා",කන්ද උඩින් පෑයූ චන්ද්‍ර සිනාවා ,කන්ද උඩින් හඳ පෑයීම,චන්ද්‍රයා සිනාසීම,හඳ පෑයීම
Hiruta Horen |  හිරුට හොරෙන්,T.M.Jayarathna,Old Pops,Kularathna Ariyawansa,Rohana Weerasingha,Ab major,,"හිරුට හොරෙන් සඳුට හොරෙන්  
තරු මල් උයනේ  
ලොවට හොරෙන් සැදූ ලොවයි  
අපේ ආදරේ... 
ඔබේ නුවන් තරු එලියෙන්  
ඒ ලෝකයේ සිරි නරඹන්නම්  
 තවත් කුමටදෝ එළියක්  
මගේ ලෝකයේ  
ඔබේ වදන් අමසරයෙන්  
ඒ ලෝකයේ නද රැව්දේ නම්  
 තවත් කුමටදෝ මිහිරක්  
 අපේ ලෝකයේ",වදන් අමසරයෙන්,මිහිරි වූ කටහඩින්,අමරස,මිහිර
